ad_type,impressions,spend_usd,geo_targeting_included
Video,<=10k,100-1k,Alaska
Image,10k-100k,100-1k,Nebraska
Image,100k-1M,100-1k,Nebraska
Text,10k-100k,100-1k,Oregon
Image,100k-1M,100-1k,Idaho
Text,<=10k,100-1k,Alaska
Text,<=10k,100-1k,Oklahoma
Text,<=10k,100-1k,Nebraska
Image,100k-1M,100-1k,Kansas
Video,10k-100k,100-1k,Oregon
Text,<=10k,100-1k,Oklahoma
Text,<=10k,100-1k,Alaska
Video,<=10k,100-1k,Arkansas
Text,10k-100k,100-1k,Oregon
Image,100k-1M,100-1k,Idaho
Text,<=10k,100-1k,Idaho
Text,<=10k,100-1k,Connecticut
Text,<=10k,100-1k,Arkansas
Text,<=10k,100-1k,Oklahoma
Text,<=10k,100-1k,Oregon
Text,<=10k,100-1k,Oregon
Text,<=10k,100-1k,New Mexico
Text,<=10k,100-1k,Alaska
Text,<=10k,100-1k,Delaware
Video,10k-100k,100-1k,Kansas
Text,<=10k,100-1k,Delaware
Text,<=10k,100-1k,Maryland
Video,<=10k,100-1k,New Mexico
Image,10k-100k,100-1k,Rhode Island
Text,<=10k,100-1k,Alaska
Image,10k-100k,100-1k,South Dakota
Video,<=10k,100-1k,Nebraska
Video,<=10k,100-1k,Vermont
Image,100k-1M,100-1k,Idaho
Video,10k-100k,100-1k,Oregon
Image,100k-1M,100-1k,Vermont
Text,<=10k,100-1k,Alaska
Text,<=10k,100-1k,Kansas
Image,100k-1M,100-1k,Vermont
Image,100k-1M,100-1k,Vermont
Text,<=10k,100-1k,Oklahoma
Text,<=10k,100-1k,Connecticut
Text,<=10k,100-1k,Arkansas
Text,<=10k,100-1k,Nebraska
Text,<=10k,100-1k,New Mexico
Text,<=10k,100-1k,Delaware
Image,100k-1M,100-1k,Nebraska
Text,<=10k,100-1k,Connecticut
Text,<=10k,100-1k,Oklahoma
Text,<=10k,100-1k,Nebraska
Text,<=10k,100-1k,Hawaii
Text,<=10k,100-1k,Kansas
Video,10k-100k,100-1k,Oregon
Text,<=10k,100-1k,Vermont
Video,10k-100k,100-1k,New Mexico
Text,10k-100k,100-1k,Oregon
Text,<=10k,100-1k,Alaska
Image,10k-100k,100-1k,South Dakota
Text,<=10k,100-1k,Maryland
Text,<=10k,100-1k,Kansas
Video,10k-100k,100-1k,Alaska
Text,<=10k,100-1k,Delaware
Video,<=10k,100-1k,Nebraska
Text,<=10k,100-1k,Alaska
Video,10k-100k,100-1k,Alaska
Video,<=10k,100-1k,Alaska
Video,<=10k,100-1k,Vermont
Text,<=10k,100-1k,Oklahoma
Image,10k-100k,100-1k,South Dakota
Text,<=10k,100-1k,Oklahoma
Text,<=10k,100-1k,Oregon
Text,<=10k,100-1k,Rhode Island
Text,<=10k,100-1k,Alaska
Video,10k-100k,100-1k,Kansas
Video,10k-100k,100-1k,Arkansas
Text,<=10k,100-1k,Kansas
Text,<=10k,100-1k,Nebraska
Text,<=10k,100-1k,Kansas
Text,<=10k,100-1k,Arkansas
Image,10k-100k,100-1k,Delaware
Video,<=10k,100-1k,Kansas
Text,<=10k,100-1k,Oklahoma
Image,100k-1M,100-1k,Idaho
Text,<=10k,100-1k,Oklahoma
Text,<=10k,100-1k,Connecticut
Text,<=10k,100-1k,Alaska
Video,10k-100k,100-1k,Vermont
Text,<=10k,100-1k,Arkansas
Video,<=10k,100-1k,Vermont
Text,<=10k,100-1k,Idaho
Video,10k-100k,100-1k,New Mexico
Text,<=10k,100-1k,Oregon
Text,<=10k,100-1k,Rhode Island
Image,10k-100k,100-1k,Oregon
Text,<=10k,100-1k,Oregon
Video,<=10k,100-1k,Vermont
Video,<=10k,100-1k,Arkansas
Text,<=10k,100-1k,Connecticut
Image,10k-100k,100-1k,Idaho
Image,100k-1M,100-1k,Idaho
Video,<=10k,100-1k,Nebraska
Video,10k-100k,100-1k,Kansas
Video,10k-100k,100-1k,New Mexico
Text,<=10k,100-1k,South Dakota
Text,<=10k,100-1k,New Mexico
Text,<=10k,100-1k,Oklahoma
Video,<=10k,100-1k,Vermont
Video,<=10k,100-1k,Nebraska
Text,<=10k,100-1k,Arkansas
Image,10k-100k,100-1k,Oklahoma
Image,10k-100k,100-1k,Idaho
Text,<=10k,100-1k,Hawaii
Video,10k-100k,100-1k,South Dakota
Image,100k-1M,100-1k,Oklahoma
Text,<=10k,100-1k,New Mexico
Text,<=10k,100-1k,Arkansas
Image,100k-1M,100-1k,Vermont
Video,10k-100k,100-1k,Delaware
Text,<=10k,100-1k,Arkansas
Video,10k-100k,100-1k,Alaska
Video,<=10k,100-1k,Alaska
Text,<=10k,100-1k,Oklahoma
Image,100k-1M,100-1k,Arkansas
Video,10k-100k,100-1k,Alaska
Text,<=10k,100-1k,Maryland
Text,<=10k,100-1k,Delaware
Image,100k-1M,100-1k,Oregon
Video,10k-100k,100-1k,Alaska
Text,<=10k,100-1k,Oregon
Text,<=10k,100-1k,Rhode Island
Text,10k-100k,100-1k,New Mexico
Image,100k-1M,100-1k,Kansas
Image,100k-1M,100-1k,Oklahoma
Text,<=10k,100-1k,Alaska
Text,<=10k,100-1k,Rhode Island
Text,<=10k,100-1k,Vermont
Text,<=10k,100-1k,Oklahoma
Text,<=10k,100-1k,Oklahoma
Video,10k-100k,100-1k,Oklahoma
Image,100k-1M,100-1k,Delaware
Text,<=10k,100-1k,Oregon
Text,<=10k,100-1k,Delaware
Text,<=10k,100-1k,South Dakota
Text,<=10k,100-1k,Nebraska
Image,100k-1M,100-1k,Connecticut
Video,10k-100k,100-1k,Oregon
Video,10k-100k,100-1k,Alaska
Video,10k-100k,100-1k,South Dakota
Text,<=10k,100-1k,Connecticut
Text,<=10k,100-1k,South Dakota
Text,<=10k,100-1k,Oklahoma
Text,<=10k,100-1k,Connecticut
Text,<=10k,100-1k,Alaska
Text,100k-1M,100-1k,Delaware
Image,10k-100k,100-1k,Idaho
Text,<=10k,100-1k,Arkansas
Video,<=10k,100-1k,Alaska
Text,<=10k,100-1k,Arkansas
Text,<=10k,100-1k,Maryland
Video,<=10k,100-1k,Vermont
Video,<=10k,100-1k,Vermont
Text,<=10k,100-1k,Delaware
Image,10k-100k,100-1k,Idaho
Image,10k-100k,100-1k,South Dakota
Video,<=10k,100-1k,Oklahoma
Text,<=10k,100-1k,Connecticut
Video,10k-100k,100-1k,Connecticut
Video,10k-100k,100-1k,South Dakota
Text,<=10k,100-1k,Arkansas
Text,<=10k,100-1k,Rhode Island
Video,<=10k,100-1k,Alaska
Text,<=10k,100-1k,Maryland
Image,100k-1M,100-1k,South Dakota
Video,10k-100k,100-1k,Hawaii
Text,<=10k,100-1k,Oregon
Text,<=10k,100-1k,Kansas
Text,<=10k,100-1k,Alaska
Video,10k-100k,100-1k,Arkansas
Text,<=10k,100-1k,Kansas
Image,100k-1M,100-1k,South Dakota
Video,10k-100k,100-1k,Connecticut
Image,100k-1M,100-1k,Idaho
Image,10k-100k,100-1k,Arkansas
Text,<=10k,100-1k,Nebraska
Text,<=10k,100-1k,Oklahoma
Text,<=10k,100-1k,Oklahoma
Video,10k-100k,100-1k,Maryland
Video,<=10k,100-1k,Alaska
Text,10k-100k,100-1k,Vermont
Image,10k-100k,100-1k,Arkansas
Text,<=10k,100-1k,Nebraska
Text,<=10k,100-1k,Hawaii
Text,<=10k,100-1k,Oklahoma
Image,100k-1M,100-1k,Oklahoma
Video,10k-100k,100-1k,South Dakota
Text,<=10k,100-1k,Arkansas
Text,<=10k,100-1k,Alaska
Text,<=10k,100-1k,Alaska
Image,100k-1M,100-1k,Delaware
Text,<=10k,100-1k,Alaska
Text,<=10k,100-1k,Vermont
Video,<=10k,100-1k,Arkansas
Text,<=10k,100-1k,Oregon
Text,<=10k,100-1k,Arkansas
Text,<=10k,100-1k,Arkansas
Text,<=10k,100-1k,Connecticut
Text,<=10k,100-1k,Delaware
Text,<=10k,100-1k,Idaho
Text,<=10k,100-1k,New Mexico
Text,<=10k,100-1k,Idaho
Image,10k-100k,100-1k,Rhode Island
